,Unnamed: 0,Unnamed: 0.1,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
40,40,40,845.2547099999998,845.2547099999998,828.85,828.85,2014-01-07T21:59:47.0000000Z,2014-01-07T21:59:02.0000000Z,2014-01-07T22:00:00.0000000Z,2014-01-07T21:59:00.0000000Z,11,0.89506549
41,41,41,828.6908900000002,828.6908900000002,828.6908900000002,828.6908900000002,2014-01-07T22:02:59.0000000Z,2014-01-07T22:02:59.0000000Z,2014-01-07T22:03:00.0000000Z,2014-01-07T22:02:00.0000000Z,1,0.01109817
42,42,42,845.00267,853.4653199999998,836.88158,845.17845,2014-01-07T22:05:56.0000000Z,2014-01-07T22:05:53.0000000Z,2014-01-07T22:06:00.0000000Z,2014-01-07T22:05:00.0000000Z,6,0.64801066
43,43,43,818.0,844.9014300000001,818.0,836.63214,2014-01-07T22:06:51.0000000Z,2014-01-07T22:06:07.0000000Z,2014-01-07T22:07:00.0000000Z,2014-01-07T22:06:00.0000000Z,12,0.44858387
44,44,44,812.01484,812.01484,812.01484,812.01484,2014-01-07T22:07:02.0000000Z,2014-01-07T22:07:01.0000000Z,2014-01-07T22:08:00.0000000Z,2014-01-07T22:07:00.0000000Z,3,0.03370621
45,45,45,813.0,813.0,813.0,813.0,2014-01-07T22:10:54.0000000Z,2014-01-07T22:10:54.0000000Z,2014-01-07T22:11:00.0000000Z,2014-01-07T22:10:00.0000000Z,1,0.05
46,46,46,810.0,813.0,810.0,813.0,2014-01-07T22:11:48.0000000Z,2014-01-07T22:11:32.0000000Z,2014-01-07T22:12:00.0000000Z,2014-01-07T22:11:00.0000000Z,4,0.08356038
47,47,47,819.41063,819.41063,819.41063,819.41063,2014-01-07T22:15:52.0000000Z,2014-01-07T22:15:52.0000000Z,2014-01-07T22:16:00.0000000Z,2014-01-07T22:15:00.0000000Z,1,0.01105495
48,48,48,827.51952,827.51952,827.51952,827.51952,2014-01-07T22:16:04.0000000Z,2014-01-07T22:16:02.0000000Z,2014-01-07T22:17:00.0000000Z,2014-01-07T22:16:00.0000000Z,2,0.0151907
49,49,49,835.69868,835.69868,835.69868,835.69868,2014-01-07T22:17:28.0000000Z,2014-01-07T22:17:28.0000000Z,2014-01-07T22:18:00.0000000Z,2014-01-07T22:17:00.0000000Z,1,0.6570191
50,50,50,819.33223,819.33223,819.33223,819.33223,2014-01-07T22:25:42.0000000Z,2014-01-07T22:25:42.0000000Z,2014-01-07T22:26:00.0000000Z,2014-01-07T22:25:00.0000000Z,1,0.65518
51,51,51,835.70868,835.70868,835.70868,835.70868,2014-01-07T22:43:27.0000000Z,2014-01-07T22:43:18.0000000Z,2014-01-07T22:44:00.0000000Z,2014-01-07T22:43:00.0000000Z,2,0.12074632
52,52,52,843.96889,843.96889,843.96889,843.96889,2014-01-07T22:44:07.0000000Z,2014-01-07T22:44:07.0000000Z,2014-01-07T22:45:00.0000000Z,2014-01-07T22:44:00.0000000Z,1,0.03846438
53,53,53,827.46028,827.46028,827.46028,827.46028,2014-01-07T22:55:58.0000000Z,2014-01-07T22:55:49.0000000Z,2014-01-07T22:56:00.0000000Z,2014-01-07T22:55:00.0000000Z,2,0.1
54,54,54,819.23385,827.46028,819.23385,827.46028,2014-01-07T22:56:52.0000000Z,2014-01-07T22:56:07.0000000Z,2014-01-07T22:57:00.0000000Z,2014-01-07T22:56:00.0000000Z,7,0.25538901
55,55,55,810.01,811.11861,810.01,811.11861,2014-01-07T22:57:59.0000000Z,2014-01-07T22:57:00.0000000Z,2014-01-07T22:58:00.0000000Z,2014-01-07T22:57:00.0000000Z,2,0.23405706
56,56,56,810.01,810.01,810.01,810.01,2014-01-07T22:58:24.0000000Z,2014-01-07T22:58:24.0000000Z,2014-01-07T22:59:00.0000000Z,2014-01-07T22:58:00.0000000Z,1,0.16104000000000002
57,57,57,827.25173,827.25173,819.14544,819.14544,2014-01-07T23:09:22.0000000Z,2014-01-07T23:09:14.0000000Z,2014-01-07T23:10:00.0000000Z,2014-01-07T23:09:00.0000000Z,3,0.32206127
58,58,58,835.42822,835.42822,835.42822,835.42822,2014-01-07T23:10:38.0000000Z,2014-01-07T23:10:28.0000000Z,2014-01-07T23:11:00.0000000Z,2014-01-07T23:10:00.0000000Z,2,0.09133173
59,59,59,835.42822,835.42822,835.42822,835.42822,2014-01-07T23:11:10.0000000Z,2014-01-07T23:11:10.0000000Z,2014-01-07T23:12:00.0000000Z,2014-01-07T23:11:00.0000000Z,1,0.00486208
60,60,60,819.0570799999998,819.0570799999998,810.7846,810.7846,2014-01-07T23:12:30.0000000Z,2014-01-07T23:12:30.0000000Z,2014-01-07T23:13:00.0000000Z,2014-01-07T23:12:00.0000000Z,2,0.02
